Chromosome,Start,End,Length (bp),Methods
Supercontig_12.1,52201,52400,200,"Blast,Period"
Supercontig_12.1,52401,52677,277,Period
Supercontig_12.1,52831,53150,320,Period
Supercontig_12.1,53151,53250,100,"Depth,Period"
Supercontig_12.1,53251,53350,100,Period
Supercontig_12.1,53351,53500,150,"Het,Period"
Supercontig_12.1,53501,55583,2083,Period
Supercontig_12.1,55745,56050,306,Period
Supercontig_12.1,56051,56200,150,"Het,Period"
Supercontig_12.1,56201,57700,1500,Period
Supercontig_12.1,57701,58000,300,"Depth,Period"
Supercontig_12.1,58001,58400,400,Period
Supercontig_12.1,58401,58450,50,"Blast,Period"
Supercontig_12.1,58451,58800,350,"Blast,Depth,Period"
Supercontig_12.1,58801,59050,250,Period
Supercontig_12.1,59051,59200,150,"Het,Period"
Supercontig_12.1,59201,60700,1500,Period
Supercontig_12.1,61501,61700,200,Het
Supercontig_12.1,62851,63200,350,"Depth,Het"
Supercontig_12.1,63201,63400,200,"Blast,Depth,Het"
Supercontig_12.1,63401,63600,200,"Depth,Het"
Supercontig_12.1,63601,63652,52,"Blast,Depth,Het"
Supercontig_12.1,63653,63700,48,"Blast,Depth,Het,Period"
Supercontig_12.1,63701,63900,200,"Blast,Het,Period"
Supercontig_12.1,63901,64203,303,"Blast,Depth,Het,Period"
Supercontig_12.1,64204,64550,347,"Blast,Depth,Het"
Supercontig_12.1,64551,65603,1053,"Blast,Het"
Supercontig_12.1,65604,66200,597,"Blast,Het,Period"
Supercontig_12.1,66201,66600,400,"Blast,Depth,Het,Period"
Supercontig_12.1,66601,66800,200,"Blast,Het,Period"
Supercontig_12.1,66801,67550,750,"Blast,Depth,Het,Period"
Supercontig_12.1,67551,67650,100,"Blast,Depth,Period"
Supercontig_12.1,67651,67850,200,"Blast,Period"
Supercontig_12.1,67851,68850,1000,"Blast,Het,Period"
Supercontig_12.1,68851,68950,100,"Blast,Depth,Het,Period"
Supercontig_12.1,68951,69000,50,"Blast,Het,Period"
Supercontig_12.1,69001,69050,50,"Het,Period"
Supercontig_12.1,69051,69200,150,Period
Supercontig_12.1,69201,69300,100,"Blast,Period"
Supercontig_12.1,69301,69700,400,"Blast,Het,Period"
Supercontig_12.1,69701,70200,500,"Blast,Depth,Het,Period"
Supercontig_12.1,70201,70335,135,"Blast,Het,Period"
Supercontig_12.1,70336,70557,222,"Blast,Het"
Supercontig_12.1,70558,71050,493,"Blast,Het,Period"
Supercontig_12.1,71051,71150,100,"Blast,Depth,Het,Period"
Supercontig_12.1,71151,71550,400,"Blast,Het,Period"
Supercontig_12.1,71551,72000,450,"Blast,Depth,Het,Period"
Supercontig_12.1,72001,72200,200,"Blast,Period"
Supercontig_12.1,72201,72350,150,Period
Supercontig_12.1,72351,72400,50,"Depth,Het,Period"
Supercontig_12.1,72401,72450,50,"Blast,Depth,Het,Period"
Supercontig_12.1,72451,73400,950,"Blast,Het,Period"
Supercontig_12.1,73401,73600,200,"Het,Period"
Supercontig_12.1,73601,74000,400,"Blast,Het,Period"
Supercontig_12.1,74001,74100,100,"Het,Period"
Supercontig_12.1,74101,74400,300,"Depth,Het,Period"
Supercontig_12.1,74401,74800,400,"Blast,Depth,Het,Period"
Supercontig_12.1,74801,75000,200,"Depth,Het,Period"
Supercontig_12.1,75001,75200,200,"Blast,Depth,Het,Period"
Supercontig_12.1,75201,75400,200,"Depth,Het,Period"
Supercontig_12.1,75401,75600,200,"Blast,Depth,Het,Period"
Supercontig_12.1,75601,76000,400,"Depth,Het,Period"
Supercontig_12.1,76001,76800,800,"Het,Period"
Supercontig_12.1,76801,76950,150,"Blast,Depth,Het,Period"
Supercontig_12.1,76951,77000,50,"Blast,Depth,Period"
Supercontig_12.1,77001,77200,200,Period
Supercontig_12.1,77201,77250,50,"Blast,Period"
Supercontig_12.1,77251,77300,50,"Blast,Het,Period"
Supercontig_12.1,77301,77450,150,"Blast,Depth,Het,Period"
Supercontig_12.1,77451,77550,100,"Blast,Het,Period"
Supercontig_12.1,77551,77800,250,"Blast,Period"
Supercontig_12.1,77801,78000,200,"Het,Period"
Supercontig_12.1,78001,78750,750,"Blast,Het,Period"
Supercontig_12.1,78751,79450,700,"Blast,Period"
Supercontig_12.1,79451,81600,2150,"Blast,Het,Period"
Supercontig_12.1,81601,81800,200,"Het,Period"
Supercontig_12.1,81801,82050,250,"Blast,Het,Period"
Supercontig_12.1,82051,82300,250,"Blast,Period"
Supercontig_12.1,82301,82500,200,"Blast,Het,Period"
Supercontig_12.1,82501,83200,700,"Blast,Period"
Supercontig_12.1,83201,83300,100,"Blast,Het,Period"
Supercontig_12.1,83301,83400,100,"Blast,Depth,Het,Period"
Supercontig_12.1,83401,84550,1150,"Blast,Het,Period"
Supercontig_12.1,84551,85400,850,"Blast,Depth,Het,Period"
Supercontig_12.1,85401,85800,400,"Depth,Het,Period"
Supercontig_12.1,85801,86000,200,"Blast,Depth,Het,Period"
Supercontig_12.1,86001,86550,550,"Depth,Het,Period"
Supercontig_12.1,86551,86600,50,"Het,Period"
Supercontig_12.1,86601,87000,400,"Blast,Het,Period"
Supercontig_12.1,87001,87400,400,"Het,Period"
Supercontig_12.1,87401,87800,400,"Blast,Het,Period"
Supercontig_12.1,87801,87950,150,"Het,Period"
Supercontig_12.1,87951,88000,50,"Depth,Het,Period"
Supercontig_12.1,88001,88050,50,"Blast,Depth,Het,Period"
Supercontig_12.1,88051,88200,150,"Blast,Het,Period"
Supercontig_12.1,88201,88250,50,"Het,Period"
Supercontig_12.1,88251,88600,350,"Depth,Het,Period"
Supercontig_12.1,88601,89000,400,"Blast,Depth,Het,Period"
Supercontig_12.1,89001,91250,2250,Period
Supercontig_12.1,91251,91400,150,"Depth,Period"
Supercontig_12.1,91401,92279,879,Period
Supercontig_12.1,94151,94300,150,Het
Supercontig_12.1,94351,94450,100,Depth
Supercontig_12.1,97601,97750,150,Het
Supercontig_12.1,98251,98450,200,Het
Supercontig_12.1,99031,99392,362,Period
Supercontig_12.1,99901,100050,150,Het
Supercontig_12.1,100327,100669,343,Period
Supercontig_12.1,101201,101400,200,Blast
Supercontig_12.1,101901,102050,150,Het
Supercontig_12.1,106701,107050,350,Depth
Supercontig_12.1,107101,107250,150,Het
Supercontig_12.1,108051,108500,450,Het
Supercontig_12.1,114201,114450,250,Het
Supercontig_12.1,114801,115000,200,Blast
Supercontig_12.1,116951,117100,150,Depth
Supercontig_12.1,118101,118250,150,Het
Supercontig_12.1,120201,120350,150,Het
Supercontig_12.1,120551,120700,150,Het
Supercontig_12.1,121001,121100,100,Blast
Supercontig_12.1,121101,121200,100,"Blast,Depth"
Supercontig_12.1,122051,122350,300,Depth
Supercontig_12.1,122551,122850,300,Depth
Supercontig_12.1,122901,123050,150,Het
Supercontig_12.1,124201,124400,200,Blast
Supercontig_12.1,126051,126200,150,Het
Supercontig_12.1,126401,126600,200,Blast
Supercontig_12.1,134251,134350,100,Het
Supercontig_12.1,134351,134400,50,"Depth,Het"
Supercontig_12.1,134401,134500,100,"Blast,Depth,Het"
Supercontig_12.1,134501,134650,150,"Blast,Het"
Supercontig_12.1,134651,134813,163,Blast
Supercontig_12.1,134814,134900,87,"Blast,Period"
Supercontig_12.1,134901,135000,100,"Blast,Depth,Period"
Supercontig_12.1,135001,135100,100,"Depth,Period"
Supercontig_12.1,135101,135109,9,Period
Supercontig_12.1,135601,135800,200,Blast
Supercontig_12.1,138451,138650,200,Het
Supercontig_12.1,142401,142600,200,Blast
Supercontig_12.1,142801,142950,150,Het
Supercontig_12.1,149251,149300,50,Het
Supercontig_12.1,149301,149400,100,"Depth,Het"
Supercontig_12.1,150070,150421,352,Period
Supercontig_12.1,151851,152000,150,Het
Supercontig_12.1,153001,153150,150,Het
Supercontig_12.1,156551,157200,650,Depth
Supercontig_12.1,159001,159150,150,Het
Supercontig_12.1,161101,161200,100,Depth
Supercontig_12.1,163001,163150,150,Het
Supercontig_12.1,164801,164950,150,Het
Supercontig_12.1,165951,166050,100,Depth
Supercontig_12.1,167151,167300,150,Het
Supercontig_12.1,167501,167600,100,Depth
Supercontig_12.1,167701,167850,150,Het
Supercontig_12.1,168451,168650,200,Depth
Supercontig_12.1,168801,168950,150,Het
Supercontig_12.1,169151,169250,100,Depth
Supercontig_12.1,169301,169700,400,Het
Supercontig_12.1,173101,173200,100,Depth
Supercontig_12.1,174201,174350,150,Het
Supercontig_12.1,174901,175000,100,Depth
Supercontig_12.1,175001,175050,50,"Blast,Depth"
Supercontig_12.1,175051,175200,150,Blast
Supercontig_12.1,175301,175450,150,Het
Supercontig_12.1,176951,177150,200,Het
Supercontig_12.1,179151,179250,100,Depth
Supercontig_12.1,179851,179950,100,Depth
Supercontig_12.1,180901,181050,150,Het
Supercontig_12.1,184201,184500,300,Depth
Supercontig_12.1,186551,186700,150,Het
Supercontig_12.1,187901,188200,300,Depth
Supercontig_12.1,190051,190200,150,Het
Supercontig_12.1,193001,193400,400,Blast
Supercontig_12.1,194651,194750,100,Depth
Supercontig_12.1,196351,196600,250,Depth
Supercontig_12.1,196601,196800,200,"Depth,Het"
Supercontig_12.1,196801,196850,50,Het
Supercontig_12.1,197101,197250,150,Het
Supercontig_12.1,199501,199550,50,Depth
Supercontig_12.1,199551,199600,50,"Depth,Het"
Supercontig_12.1,199601,199724,124,"Blast,Depth,Het"
Supercontig_12.1,199725,200350,626,"Blast,Depth,Het,Period"
Supercontig_12.1,200351,200419,69,"Blast,Het,Period"
Supercontig_12.1,200420,200573,154,"Blast,Het"
Supercontig_12.1,200574,200750,177,"Blast,Het,Period"
Supercontig_12.1,200751,200950,200,"Blast,Depth,Het,Period"
Supercontig_12.1,200951,201300,350,"Blast,Het,Period"
Supercontig_12.1,201301,201800,500,"Blast,Period"
Supercontig_12.1,201801,201900,100,"Blast,Depth,Period"
Supercontig_12.1,201901,202500,600,"Blast,Depth,Het,Period"
Supercontig_12.1,202501,202950,450,"Blast,Het,Period"
Supercontig_12.1,202951,204000,1050,"Blast,Depth,Het,Period"
Supercontig_12.1,204001,204159,159,"Blast,Het,Period"
Supercontig_12.1,204160,204200,41,"Blast,Het"
Supercontig_12.1,204201,204921,721,"Blast,Depth,Het"
Supercontig_12.1,204922,205765,844,"Blast,Depth,Het,Period"
Supercontig_12.1,205766,205800,35,"Blast,Depth,Het"
Supercontig_12.1,205801,206028,228,"Blast,Het"
Supercontig_12.1,206029,206300,272,"Blast,Het,Period"
Supercontig_12.1,206301,206750,450,"Blast,Depth,Het,Period"
Supercontig_12.1,206751,207050,300,"Blast,Het,Period"
Supercontig_12.1,207051,207200,150,"Blast,Period"
Supercontig_12.1,207201,207250,50,"Blast,Depth,Period"
Supercontig_12.1,207251,207300,50,"Blast,Depth,Het,Period"
Supercontig_12.1,207301,208200,900,"Blast,Het,Period"
Supercontig_12.1,208201,208600,400,"Blast,Depth,Het,Period"
Supercontig_12.1,208601,208650,50,"Depth,Het,Period"
Supercontig_12.1,208651,208659,9,"Het,Period"
Supercontig_12.1,208660,208700,41,Het
Supercontig_12.1,212551,212650,100,Depth
Supercontig_12.1,213501,213700,200,Het
Supercontig_12.1,218401,218500,100,Depth
Supercontig_12.1,221001,221750,750,Depth
Supercontig_12.1,223151,223350,200,Het
Supercontig_12.1,223651,223800,150,Depth
Supercontig_12.1,224001,224200,200,Depth
Supercontig_12.1,225251,225400,150,Het
Supercontig_12.1,226601,226750,150,Het
Supercontig_12.1,227401,227800,400,Het
Supercontig_12.1,228851,229000,150,Het
Supercontig_12.1,230151,230300,150,Het
Supercontig_12.1,230701,230850,150,"Depth,Het"
Supercontig_12.1,230851,230900,50,Het
Supercontig_12.1,231201,231300,100,Depth
Supercontig_12.1,233551,233700,150,Het
Supercontig_12.1,235101,235600,500,Het
Supercontig_12.1,235801,236050,250,Het
Supercontig_12.1,236551,236750,200,Het
Supercontig_12.1,238451,238600,150,Het
Supercontig_12.1,238601,238700,100,"Blast,Het"
Supercontig_12.1,238701,238800,100,Blast
Supercontig_12.1,239651,239800,150,Het
Supercontig_12.1,241051,241500,450,Het
Supercontig_12.1,242601,243050,450,Het
Supercontig_12.1,244351,244500,150,Het
Supercontig_12.1,245551,245700,150,Het
Supercontig_12.1,246901,247200,300,Depth
Supercontig_12.1,248401,248650,250,Depth
Supercontig_12.1,249801,249900,100,"Blast,Depth"
Supercontig_12.1,249901,250200,300,Blast
Supercontig_12.1,251001,251150,150,"Blast,Depth"
Supercontig_12.1,251151,251200,50,"Blast,Het"
Supercontig_12.1,251201,251300,100,Het
Supercontig_12.1,251601,251800,200,Blast
Supercontig_12.1,253151,253400,250,Het
Supercontig_12.1,253951,254400,450,Het
Supercontig_12.1,256501,256650,150,Het
Supercontig_12.1,258651,258750,100,Depth
Supercontig_12.1,260001,260100,100,Depth
Supercontig_12.1,260801,260850,50,Blast
Supercontig_12.1,260851,261000,150,"Blast,Het"
Supercontig_12.1,262551,262650,100,Depth
Supercontig_12.1,262651,262800,150,"Depth,Het"
Supercontig_12.1,262801,262850,50,Depth
Supercontig_12.1,264651,264750,100,Depth
Supercontig_12.1,264951,265250,300,Depth
Supercontig_12.1,265951,266050,100,Depth
Supercontig_12.1,266601,266800,200,Blast
Supercontig_12.1,267001,267050,50,Blast
Supercontig_12.1,267051,267200,150,"Blast,Depth,Het"
Supercontig_12.1,267201,267800,600,"Depth,Het"
Supercontig_12.1,267801,268000,200,"Blast,Depth,Het"
Supercontig_12.1,268001,268100,100,"Depth,Het"
Supercontig_12.1,268101,268750,650,Het
Supercontig_12.1,268751,268850,100,"Depth,Het"
Supercontig_12.1,268851,269000,150,Het
Supercontig_12.1,269001,269200,200,"Blast,Het"
Supercontig_12.1,269201,269300,100,Het
Supercontig_12.1,269801,269850,50,Blast
Supercontig_12.1,269851,270000,150,"Blast,Depth"
Supercontig_12.1,270001,270100,100,Depth
Supercontig_12.1,270101,270593,493,"Depth,Het"
Supercontig_12.1,270594,270600,7,"Depth,Het,Period"
Supercontig_12.1,270601,270924,324,"Blast,Depth,Het,Period"
Supercontig_12.1,270925,271227,303,"Blast,Depth,Het"
Supercontig_12.1,271228,271645,418,"Blast,Depth,Het,Period"
Supercontig_12.1,271646,272143,498,"Blast,Depth,Het"
Supercontig_12.1,272144,273250,1107,"Blast,Depth,Het,Period"
Supercontig_12.1,273251,273750,500,"Blast,Het,Period"
Supercontig_12.1,273751,274000,250,"Blast,Depth,Het,Period"
Supercontig_12.1,274001,274400,400,"Blast,Het,Period"
Supercontig_12.1,274401,275850,1450,"Blast,Depth,Het,Period"
Supercontig_12.1,275851,276050,200,"Blast,Het,Period"
Supercontig_12.1,276051,276400,350,"Blast,Depth,Het,Period"
Supercontig_12.1,276401,277250,850,"Blast,Het,Period"
Supercontig_12.1,277251,277378,128,"Blast,Depth,Het,Period"
Supercontig_12.1,277379,277450,72,"Blast,Depth,Het"
Supercontig_12.1,277451,277563,113,"Blast,Het"
Supercontig_12.1,277564,278250,687,"Blast,Het,Period"
Supercontig_12.1,278251,279350,1100,"Blast,Depth,Het,Period"
Supercontig_12.1,279351,280500,1150,"Blast,Het,Period"
Supercontig_12.1,280501,280700,200,"Blast,Depth,Het,Period"
Supercontig_12.1,280701,281050,350,"Blast,Het,Period"
Supercontig_12.1,281051,281450,400,"Blast,Period"
Supercontig_12.1,281451,281700,250,"Blast,Het,Period"
Supercontig_12.1,281701,282300,600,"Blast,Depth,Het,Period"
Supercontig_12.1,282301,282700,400,"Blast,Het,Period"
Supercontig_12.1,282701,282900,200,"Blast,Period"
Supercontig_12.1,282901,283900,1000,"Blast,Het,Period"
Supercontig_12.1,283901,285300,1400,"Blast,Depth,Het,Period"
Supercontig_12.1,285301,285550,250,"Blast,Het,Period"
Supercontig_12.1,285551,288550,3000,"Blast,Depth,Het,Period"
Supercontig_12.1,288551,288600,50,"Blast,Depth,Period"
Supercontig_12.1,288601,288950,350,Period
Supercontig_12.1,288951,289000,50,"Het,Period"
Supercontig_12.1,289001,289100,100,"Blast,Het,Period"
Supercontig_12.1,289101,289200,100,"Blast,Period"
Supercontig_12.1,289201,290200,1000,Period
Supercontig_12.1,290201,290350,150,"Blast,Het,Period"
Supercontig_12.1,290351,290400,50,"Blast,Period"
Supercontig_12.1,290401,292350,1950,Period
Supercontig_12.1,292351,292400,50,"Depth,Het,Period"
Supercontig_12.1,292401,293200,800,"Blast,Depth,Het,Period"
Supercontig_12.1,293201,293300,100,"Depth,Het,Period"
Supercontig_12.1,293301,293900,600,Period
Supercontig_12.1,293901,294350,450,"Het,Period"
Supercontig_12.1,294351,295550,1200,Period
Supercontig_12.1,295551,295800,250,"Het,Period"
Supercontig_12.1,295801,295950,150,"Blast,Het,Period"
Supercontig_12.1,295951,296000,50,"Blast,Period"
Supercontig_12.1,296001,297076,1076,Period
Supercontig_12.1,299001,299200,200,Blast
Supercontig_12.1,300251,300550,300,Depth
Supercontig_12.1,300551,300600,50,"Depth,Het"
Supercontig_12.1,300601,300700,100,"Blast,Het"
Supercontig_12.1,300701,300800,100,Blast
Supercontig_12.1,301201,301400,200,Blast
Supercontig_12.1,302151,302300,150,Het
Supercontig_12.1,303201,303350,150,Depth
Supercontig_12.1,304361,305005,645,Period
Supercontig_12.1,305951,306150,200,Het
Supercontig_12.1,306419,306749,331,Period
Supercontig_12.1,306751,306950,200,Het
Supercontig_12.1,307951,307968,18,Het
Supercontig_12.1,307969,308100,132,"Het,Period"
Supercontig_12.1,308101,308250,150,Period
Supercontig_12.1,308251,308350,100,"Depth,Period"
Supercontig_12.1,308351,308607,257,Period
Supercontig_12.1,308759,312350,3592,Period
Supercontig_12.1,312351,312500,150,"Het,Period"
Supercontig_12.1,312501,313500,1000,Period
Supercontig_12.1,313501,313600,100,"Depth,Period"
Supercontig_12.1,313601,315239,1639,Period
Supercontig_12.1,315422,317275,1854,Period
Supercontig_12.1,317501,317700,200,Het
Supercontig_12.1,321251,321450,200,Het
Supercontig_12.1,323051,323250,200,Het
Supercontig_12.1,324101,324200,100,Depth
Supercontig_12.1,324951,325100,150,Het
Supercontig_12.1,325701,325950,250,Het
Supercontig_12.1,326451,326600,150,Het
Supercontig_12.1,327351,327550,200,Depth
Supercontig_12.1,328301,328450,150,Het
Supercontig_12.1,329801,330000,200,Blast
Supercontig_12.1,331601,331800,200,Blast
Supercontig_12.1,332551,332950,400,Het
Supercontig_12.1,333851,334150,300,Het
Supercontig_12.1,334501,335050,550,Het
Supercontig_12.1,335551,335700,150,Het
Supercontig_12.1,336201,336400,200,Blast
Supercontig_12.1,336501,336950,450,Het
Supercontig_12.1,338801,339200,400,Het
Supercontig_12.1,339601,339750,150,Het
Supercontig_12.1,340151,340550,400,Het
Supercontig_12.1,341401,341407,7,Blast
Supercontig_12.1,341408,341650,243,"Blast,Period"
Supercontig_12.1,341651,341779,129,"Blast,Het,Period"
Supercontig_12.1,341780,341800,21,"Blast,Het"
Supercontig_12.1,341801,342000,200,Blast
Supercontig_12.1,342601,342650,50,Blast
Supercontig_12.1,342651,342800,150,"Blast,Het"
Supercontig_12.1,342801,343350,550,Het
Supercontig_12.1,343701,344150,450,Het
Supercontig_12.1,345851,346000,150,Het
Supercontig_12.1,347201,347235,35,"Blast,Depth"
Supercontig_12.1,347236,347500,265,"Blast,Depth,Period"
Supercontig_12.1,347501,347600,100,"Blast,Depth,Het,Period"
Supercontig_12.1,347601,347650,50,"Het,Period"
Supercontig_12.1,347651,347679,29,Period
Supercontig_12.1,349051,349250,200,Depth
Supercontig_12.1,352501,352650,150,Het
Supercontig_12.1,353601,354000,400,Depth
Supercontig_12.1,357251,357400,150,Het
Supercontig_12.1,358301,358400,100,Depth
Supercontig_12.1,358451,358750,300,Het
Supercontig_12.1,361851,362050,200,Het
Supercontig_12.1,362551,362850,300,Het
Supercontig_12.1,363401,363600,200,Blast
Supercontig_12.1,363801,363950,150,Het
Supercontig_12.1,366301,366500,200,Het
Supercontig_12.1,368001,368150,150,Het
Supercontig_12.1,369301,369500,200,Het
Supercontig_12.1,369751,369950,200,Depth
Supercontig_12.1,370151,370250,100,Depth
Supercontig_12.1,370451,370850,400,Het
Supercontig_12.1,371201,371400,200,Depth
Supercontig_12.1,371701,371900,200,"Depth,Het"
Supercontig_12.1,371901,372650,750,Het
Supercontig_12.1,373601,373750,150,Het
Supercontig_12.1,373751,374000,250,Depth
Supercontig_12.1,374001,374036,36,"Blast,Depth"
Supercontig_12.1,374037,374100,64,"Blast,Depth,Period"
Supercontig_12.1,374101,374564,464,"Blast,Depth,Het,Period"
Supercontig_12.1,374565,374800,236,"Blast,Depth,Het"
Supercontig_12.1,374801,374850,50,Depth
Supercontig_12.1,376401,376600,200,"Blast,Het"
Supercontig_12.1,376601,376650,50,Het
Supercontig_12.1,377401,377850,450,Het
Supercontig_12.1,378101,378350,250,Het
Supercontig_12.1,378751,378950,200,Het
Supercontig_12.1,379151,379350,200,Het
Supercontig_12.1,380051,380600,550,Het
Supercontig_12.1,381001,381300,300,Depth
Supercontig_12.1,381601,381800,200,Blast
Supercontig_12.1,382251,382400,150,Het
Supercontig_12.1,382651,382800,150,Het
Supercontig_12.1,384001,385400,1400,Blast
Supercontig_12.1,385401,385600,200,Het
Supercontig_12.1,386501,386700,200,Depth
Supercontig_12.1,388901,389150,250,Depth
Supercontig_12.1,390001,390200,200,Het
Supercontig_12.1,390801,390975,175,Blast
Supercontig_12.1,390976,391000,25,"Blast,Period"
Supercontig_12.1,391001,391259,259,Period
Supercontig_12.1,392501,392650,150,Het
Supercontig_12.1,393001,393200,200,Blast
Supercontig_12.1,393401,393700,300,Het
Supercontig_12.1,393901,394100,200,Het
Supercontig_12.1,396951,397150,200,Het
Supercontig_12.1,402201,402300,100,Blast
Supercontig_12.1,402301,402400,100,"Blast,Het"
Supercontig_12.1,402401,402800,400,Het
Supercontig_12.1,403901,404150,250,Depth
Supercontig_12.1,406551,406700,150,Het
